319011,HLS,Massage Therapists
319091,HLS,Dental Assistants
319092,HLS,Medical Assistants
319094,HLS,Medical Transcriptionists
319095,HLS,Pharmacy Aides
319096,HLS,Veterinary Assistants
319097,HLS,Phlebotomists
331011,PRT,Correctional Officer Supervisors
331012,PRT,Police/Detective Supervisors
331021,PRT,Fire Fighting/Prevention Supervisors
331099,PRT,Protective Service Supervisors
332011,PRT,Firefighters
332020,PRT,Fire Inspectors
333010,PRT,Bailiffs/Correctional Officers
333021,PRT,Detectives And Criminal Investigators
333050,PRT,Police Officers
339011,PRT,Animal Control Workers
339021,PRT,Private Detectives And Investigators
339030,PRT,Security Guards
339091,PRT,Crossing Guards
339093,PRT,Transportation Security Screeners
351011,EAT,Chefs And Head Cooks
351012,EAT,Food Prep/Serving Supervisors
352010,EAT,Cooks
352021,EAT,Food Preparation Workers
353011,EAT,Bartenders
353021,EAT,Food Prep and Serving Workers
353022,EAT,Counter Attendants (Food/Coffee)
353031,EAT,Waiters And Waitresses
353041,EAT,"Food Servers, Nonrestaurant"
359021,EAT,Dishwashers
359031,EAT,Hosts and Hostesses
371011,CLN,Housekeeping/Janitorial Supervisors
371012,CLN,Landscaping Supervisors
372012,CLN,Maids And Housekeeping Cleaners
372021,CLN,Pest Control Workers
373010,CLN,Grounds Maintenance Workers
391010,PRS,First Line Supervisors Of Gaming Workers
391021,PRS,Personal Service Supervisors
392011,PRS,Animal Trainers
392021,PRS,Nonfarm Animal Caretakers
393010,PRS,Gaming Services Workers
393021,PRS,Motion Picture Projectionists
393031,PRS,Users/Lobby Attendants
393090,PRS,Misc Entertainment Attendants
394031,PRS,Morticians/Undertakers/Funeral Directors
395011,PRS,Barbers
395012,PRS,Hairdressers/Cosmetologists
395090,PRS,Misc Personal Appearance Workers
396010,PRS,Baggage Porters/Bellhops/Concierges
397010,PRS,Tour And Travel Guides
399011,PRS,Childcare Workers
399021,PRS,Personal Care Aides
399030,PRS,Recreation And Fitness Workers
399041,PRS,Residential Advisors
399099,PRS,Personal Care Workers
411011,SAL,Retail Sales Supervisors
411012,SAL,Non Retail Sales Supervisors
412010,SAL,Cashiers
412021,SAL,Counter And Rental Clerks
412022,SAL,Parts Salespersons
412031,SAL,Retail Salespersons
413011,SAL,Advertising Sales Agents
413021,SAL,Insurance Sales Agents
413031,SAL,Financial Services Sales Agents
413041,SAL,Travel Agents
413099,SAL,Service Sales Representatives
414010,SAL,Sales Representatives
419010,SAL,Models/Demonstrators/Promoters
419020,SAL,Real Estate Brokers And Sales Agents
419031,SAL,Sales Engineers
419041,SAL,Telemarketers
419091,SAL,Door to Door Sales Workers
419099,SAL,"Sales And Related Workers, All Other"
431011,OFF,Office/Admin Supervisors
432011,OFF,Switchboard Operators
432021,OFF,Telephone Operators
432099,OFF,Communications Equipment Operators
433011,OFF,Bill And Account Collectors
433021,OFF,Billing And Posting Clerks
433031,OFF,Bookeeping/Accounting Clerks
433041,OFF,Gaming Cage Workers
433051,OFF,Payroll And Timekeeping Clerks
433061,OFF,Procurement Clerks
433071,OFF,Tellers
433099,OFF,"Financial Clerks, All Other"
434011,OFF,Brokerage Clerks
434031,OFF,"Court, Municipal, And License Clerks"
434041,OFF,"Credit Authorizers, Checkers, And Clerks"
434051,OFF,Customer Service Representatives
434061,OFF,Government Eligibility Interviewers
434071,OFF,File Clerks
434081,OFF,"Hotel, Motel, And Resort Desk Clerks"
434111,OFF,Interviewers
434121,OFF,"Library Assistants, Clerical"
434131,OFF,Loan Interviewers And Clerks
434141,OFF,New Accounts Clerks
434161,OFF,Human Resource Assistants
434171,OFF,Receptionists And Information Clerks
434181,OFF,Reservation/Transportation Ticket Agents
434199,OFF,"Information And Record Clerks, All Other"
435011,OFF,Cargo And Freight Agents
435021,OFF,Couriers And Messengers
435030,OFF,Dispatchers
435041,OFF,"Meter Readers, Utilities"
435051,OFF,Postal Service Clerks
435052,OFF,Postal Service Mail Carriers
435053,OFF,Postal Service Mail Sorters/Operators
435061,OFF,Production/Planning Clerks
435071,OFF,"Shipping, Receiving, And Traffic Clerks"
435081,OFF,Stock Clerks And Order Fillers
435111,OFF,Weighers/Measurers for Recordkeeping
436010,OFF,Secretaries/Administrative Assistants
439011,OFF,Computer Operators
439021,OFF,Data Entry Keyers
439022,OFF,Word Processors And Typists
439041,OFF,Insurance Caims/Processing Clerks
439051,OFF,Mail Clearks and Mail Machine Operators
439061,OFF,"Office Clerks, General"
439071,OFF,Office Machine Operators
439081,OFF,Proofreaders And Copy Markers
439111,OFF,Statistical Assistants
451011,FFF,Agricultural Supervisors
452011,FFF,Agricultural Inspectors
452041,FFF,Agricultural Graders/Sorters
453000,FFF,Fishing And Hunting Workers
454011,FFF,Forest And Conservation Workers
454020,FFF,Logging Workers
471011,CON,Construction Supervisors
472011,CON,Boilermakers
472031,CON,Carpenters
472040,CON,Carpet/Floor/Tile Installers
472050,CON,Cement Masons/Finishers
472061,CON,Construction Laborers
472071,CON,Paving/Surfacing Equipment Operators
472080,CON,Drywall Installers
472111,CON,Electricians
472121,CON,Glaziers
472130,CON,Insulation Workers
472140,CON,Painters And Paperhangers
472150,CON,Pipelayers/Plumbers/Pipefitters
472161,CON,Plasterers And Stucco Masons
472181,CON,Roofers
472211,CON,Sheet Metal Workers
472221,CON,Structural Iron And Steel Workers
473010,CON,"Helpers, Construction Trades"
474011,CON,Construction And Building Inspectors
474021,CON,Elevator Installers And Repairers
474031,CON,Fence Erectors
474041,CON,Hazardous Materials Removal Workers
474051,CON,Highway Maintenance Workers
474061,CON,Rail Track Laying Equipment Operators
475021,EXT,"Earth Drillers, Except Oil And Gas"
475031,EXT,Explosive Workers and Blasters
475040,EXT,Mining Machine Operators
