1056030,2012 factor,1.010207,1.04536021
1038170,2013 factor,1.007549,1.03039158
1022342,2014 factor,1.008425,1.01380104
1013916,2015 factor,1.001264,1.01263642
1007588,2016 factor,1.007588,1.00000000
