socp	onet
1940YY	19-4099.03
211010	21-1011.00
211010	21-1012.00
211010	21-1013.00
211010	21-1014.00
211010	21-1015.00
211010	21-1019.00
211020	21-1021.00
211020	21-1022.00
211020	21-1023.00
211020	21-1029.00
21109X	21-1091.00
211092	21-1092.00
211093	21-1093.00
21109X	21-1094.00
21109X	21-1099.00
212011	21-2011.00
212021	21-2021.00
212099	21-2099.00
2310XX	23-1011.00
231012	23-1012.00
2310XX	23-1021.00
2310XX	23-1022.00
2310XX	23-1023.00
232011	23-2011.00
232090	23-2091.00
232090	23-2093.00
232090	23-2099.00
251000	25-1011.00
251000	25-1021.00
251000	25-1022.00
251000	25-1031.00
251000	25-1032.00
251000	25-1041.00
251000	25-1042.00
251000	25-1043.00
251000	25-1051.00
251000	25-1052.00
251000	25-1053.00
251000	25-1054.00
251000	25-1061.00
251000	25-1062.00
251000	25-1063.00
251000	25-1064.00
251000	25-1065.00
251000	25-1066.00
251000	25-1067.00
251000	25-1069.00
251000	25-1071.00
251000	25-1072.00
251000	25-1081.00
251000	25-1082.00
251000	25-1111.00
251000	25-1112.00
251000	25-1113.00
251000	25-1121.00
251000	25-1122.00
251000	25-1123.00
251000	25-1124.00
251000	25-1125.00
251000	25-1126.00
251000	25-1191.00
251000	25-1192.00
251000	25-1193.00
251000	25-1194.00
251000	25-1199.00
252010	25-2011.00
252010	25-2012.00
252020	25-2021.00
252020	25-2022.00
252020	25-2023.00
252030	25-2031.00
252030	25-2032.00
252050	25-2051.00
252050	25-2052.00
252050	25-2053.00
252050	25-2054.00
252050	25-2059.00
252050	25-2059.01
253000	25-3011.00
253000	25-3021.00
253000	25-3099.00
253000	25-3099.02
254010	25-4011.00
254010	25-4012.00
254010	25-4013.00
254021	25-4021.00
254031	25-4031.00
2590XX	25-9011.00
2590XX	25-9021.00
2590XX	25-9031.00
2590XX	25-9031.01
259041	25-9041.00
2590XX	25-9099.00
271010	27-1011.00
271010	27-1012.00
271010	27-1013.00
271010	27-1014.00
271010	27-1019.00
271020	27-1021.00
271020	27-1022.00
271020	27-1023.00
271020	27-1024.00
271020	27-1025.00
271020	27-1026.00
271020	27-1027.00
271020	27-1029.00
272011	27-2011.00
272012	27-2012.00
272012	27-2012.01
272012	27-2012.02
272012	27-2012.03
272012	27-2012.04
272012	27-2012.05
272020	27-2021.00
272020	27-2022.00
272020	27-2023.00
272030	27-2031.00
272030	27-2032.00
272040	27-2041.00
272040	27-2041.01
272040	27-2041.04
272040	27-2042.00
272040	27-2042.01
272040	27-2042.02
272099	27-2099.00
273010	27-3011.00
273010	27-3012.00
273020	27-3021.00
273020	27-3022.00
273031	27-3031.00
273041	27-3041.00
273042	27-3042.00
273043	27-3043.00
273043	27-3043.04
273043	27-3043.05
273090	27-3091.00
273090	27-3099.00
2740XX	27-4011.00
2740XX	27-4012.00
2740XX	27-4013.00
2740XX	27-4014.00
274021	27-4021.00
274030	27-4031.00
274030	27-4032.00
2740XX	27-4099.00
291011	29-1011.00
291020	29-1021.00
291020	29-1022.00
291020	29-1023.00
291020	29-1024.00
291020	29-1029.00
291031	29-1031.00
291041	29-1041.00
291051	29-1051.00
291060	29-1061.00
291060	29-1062.00
291060	29-1063.00
291060	29-1064.00
291060	29-1065.00
291060	29-1066.00
291060	29-1067.00
291060	29-1069.00
291060	29-1069.01
291060	29-1069.02
291060	29-1069.03
291060	29-1069.04
291060	29-1069.05
291060	29-1069.06
291060	29-1069.07
291060	29-1069.08
291060	29-1069.09
291060	29-1069.10
291060	29-1069.11
291060	29-1069.12
291071	29-1071.00
291071	29-1071.01
291081	29-1081.00
291122	29-1122.00
291122	29-1122.01
291123	29-1123.00
291124	29-1124.00
291125	29-1125.00
291125	29-1125.01
291125	29-1125.02
291126	29-1126.00
291127	29-1127.00
29112X	29-1128.00
29112X	29-1129.00
291131	29-1131.00
291141	29-1141.00
291141	29-1141.01
291141	29-1141.02
291141	29-1141.03
291141	29-1141.04
291151	29-1151.00
2911XX	29-1161.00
2911XX	29-1171.00
291181	29-1181.00
291199	29-1199.00
291199	29-1199.01
291199	29-1199.04
291199	29-1199.05
292010	29-2011.00
292010	29-2011.01
292010	29-2011.02
292010	29-2011.03
292010	29-2012.00
292021	29-2021.00
292030	29-2031.00
292030	29-2032.00
292030	29-2033.00
292030	29-2034.00
292030	29-2035.00
292041	29-2041.00
292050	29-2051.00
292050	29-2052.00
292050	29-2053.00
292050	29-2054.00
292050	29-2055.00
292050	29-2056.00
292050	29-2057.00
292061	29-2061.00
292071	29-2071.00
292081	29-2081.00
292090	29-2091.00
292090	29-2092.00
292090	29-2099.00
292090	29-2099.01
292090	29-2099.05
292090	29-2099.06
292090	29-2099.07
299000	29-9011.00
299000	29-9012.00
299000	29-9091.00
299000	29-9092.00
299000	29-9099.00
299000	29-9099.01
311010	31-1011.00
311010	31-1013.00
311010	31-1014.00
311010	31-1015.00
312010	31-2011.00
312010	31-2012.00
312020	31-2021.00
312020	31-2022.00
319011	31-9011.00
319091	31-9091.00
319092	31-9092.00
31909X	31-9093.00
319094	31-9094.00
319095	31-9095.00
319096	31-9096.00
319097	31-9097.00
31909X	31-9099.00
31909X	31-9099.01
31909X	31-9099.02
331011	33-1011.00
331012	33-1012.00
331021	33-1021.00
331021	33-1021.01
331021	33-1021.02
331099	33-1099.00
332011	33-2011.00
332011	33-2011.01
332011	33-2011.02
332020	33-2021.00
332020	33-2021.01
332020	33-2021.02
332020	33-2022.00
333010	33-3011.00
333010	33-3012.00
333021	33-3021.00
333021	33-3021.01
333021	33-3021.02
333021	33-3021.03
333021	33-3021.05
333021	33-3021.06
3330XX	33-3031.00
3330XX	33-3041.00
333050	33-3051.00
333050	33-3051.01
333050	33-3051.03
333050	33-3052.00
339011	33-9011.00
339021	33-9021.00
339030	33-9031.00
339030	33-9032.00
339091	33-9091.00
33909X	33-9092.00
339093	33-9093.00
33909X	33-9099.00
33909X	33-9099.02
351011	35-1011.00
351012	35-1012.00
352010	35-2011.00
352010	35-2012.00
352010	35-2013.00
352010	35-2014.00
352010	35-2015.00
352010	35-2019.00
352021	35-2021.00
353011	35-3011.00
353021	35-3021.00
353022	35-3022.00
353022	35-3022.01
353031	35-3031.00
353041	35-3041.00
3590XX	35-9011.00
359021	35-9021.00
359031	35-9031.00
3590XX	35-9099.00
371011	37-1011.00
371012	37-1012.00
37201X	37-2011.00
372012	37-2012.00
37201X	37-2019.00
372021	37-2021.00
373010	37-3011.00
373010	37-3012.00
373010	37-3013.00
373010	37-3019.00
391010	39-1011.00
391010	39-1012.00
391021	39-1021.00
391021	39-1021.01
392011	39-2011.00
392021	39-2021.00
393010	39-3011.00
393010	39-3012.00
393010	39-3019.00
393021	39-3021.00
393031	39-3031.00
393090	39-3091.00
393090	39-3092.00
393090	39-3093.00
393090	39-3099.00
3940XX	39-4011.00
3940XX	39-4021.00
394031	39-4031.00
395011	39-5011.00
395012	39-5012.00
395090	39-5091.00
395090	39-5092.00
395090	39-5093.00
395090	39-5094.00
396010	39-6011.00
396010	39-6012.00
397010	39-7011.00
397010	39-7012.00
399011	39-9011.00
399011	39-9011.01
399021	39-9021.00
399030	39-9031.00
399030	39-9032.00
399041	39-9041.00
399099	39-9099.00
411011	41-1011.00
411012	41-1012.00
412010	41-2011.00
412010	41-2012.00
412021	41-2021.00
412022	41-2022.00
412031	41-2031.00
413011	41-3011.00
413021	41-3021.00
413031	41-3031.00
413031	41-3031.01
413031	41-3031.02
413031	41-3031.03
413041	41-3041.00
413099	41-3099.00
413099	41-3099.01
414010	41-4011.00
414010	41-4011.07
414010	41-4012.00
419010	41-9011.00
419010	41-9012.00
419020	41-9021.00
419020	41-9022.00
419031	41-9031.00
419041	41-9041.00
419091	41-9091.00
419099	41-9099.00
431011	43-1011.00
432011	43-2011.00
432021	43-2021.00
432099	43-2099.00
433011	43-3011.00
433021	43-3021.00
433021	43-3021.01
433021	43-3021.02
433031	43-3031.00
433041	43-3041.00
433051	43-3051.00
433061	43-3061.00
433071	43-3071.00
433099	43-3099.00
434011	43-4011.00
434XXX	43-4021.00
434031	43-4031.00
434031	43-4031.01
434031	43-4031.02
434031	43-4031.03
434041	43-4041.00
434041	43-4041.01
434041	43-4041.02
434051	43-4051.00
434051	43-4051.03
434061	43-4061.00
434071	43-4071.00
434081	43-4081.00
434111	43-4111.00
434121	43-4121.00
434131	43-4131.00
434141	43-4141.00
434XXX	43-4151.00
434161	43-4161.00
434171	43-4171.00
434181	43-4181.00
434199	43-4199.00
435011	43-5011.00
435011	43-5011.01
435021	43-5021.00
435030	43-5031.00
435030	43-5032.00
435041	43-5041.00
435051	43-5051.00
435052	43-5052.00
435053	43-5053.00
435061	43-5061.00
435071	43-5071.00
435081	43-5081.00
435081	43-5081.01
435081	43-5081.02
435081	43-5081.03
435081	43-5081.04
435111	43-5111.00
436010	43-6011.00
436010	43-6012.00
436010	43-6013.00
436010	43-6014.00
439011	43-9011.00
439021	43-9021.00
439022	43-9022.00
439XXX	43-9031.00
439041	43-9041.00
439041	43-9041.01
439041	43-9041.02
439051	43-9051.00
439061	43-9061.00
439071	43-9071.00
439081	43-9081.00
439111	43-9111.00
439111	43-9111.01
439XXX	43-9199.00
451011	45-1011.00
451011	45-1011.05
451011	45-1011.06
451011	45-1011.07
451011	45-1011.08
452011	45-2011.00
4520XX	45-2021.00
452041	45-2041.00
4520XX	45-2091.00
4520XX	45-2092.00
4520XX	45-2092.01
4520XX	45-2092.02
4520XX	45-2093.00
4520XX	45-2099.00
453000	45-3011.00
453000	45-3021.00
454011	45-4011.00
454020	45-4021.00
454020	45-4022.00
454020	45-4023.00
454020	45-4029.00
471011	47-1011.00
471011	47-1011.03
472011	47-2011.00
472XXX	47-2021.00
472XXX	47-2022.00
472031	47-2031.00
472031	47-2031.01
472031	47-2031.02
472040	47-2041.00
472040	47-2042.00
472040	47-2043.00
472040	47-2044.00
472050	47-2051.00
472050	47-2053.00
472061	47-2061.00
472071	47-2071.00
47207X	47-2072.00
47207X	47-2073.00
472080	47-2081.00
472080	47-2082.00
472111	47-2111.00
472121	47-2121.00
472130	47-2131.00
472130	47-2132.00
472140	47-2141.00
472140	47-2142.00
472150	47-2151.00
472150	47-2152.00
472150	47-2152.01
472150	47-2152.02
472161	47-2161.00
472XXX	47-2171.00
472181	47-2181.00
472211	47-2211.00
472221	47-2221.00
47XXXX	47-2231.00
473010	47-3011.00
473010	47-3012.00
473010	47-3013.00
473010	47-3014.00
473010	47-3015.00
473010	47-3016.00
473010	47-3019.00
474011	47-4011.00
474021	47-4021.00
474031	47-4031.00
474041	47-4041.00
474051	47-4051.00
474061	47-4061.00
47XXXX	47-4071.00
47XXXX	47-4091.00
47XXXX	47-4099.00
47XXXX	47-4099.02
47XXXX	47-4099.03
4750YY	47-5011.00
4750YY	47-5012.00
4750YY	47-5013.00
475021	47-5021.00
475031	47-5031.00
475040	47-5041.00
475040	47-5042.00
475040	47-5049.00
4750XX	47-5051.00
4750XX	47-5061.00
4750YY	47-5071.00
4750XX	47-5081.00
4750XX	47-5099.00
491011	49-1011.00
492011	49-2011.00
492020	49-2021.00
492020	49-2021.01
492020	49-2022.00
492091	49-2091.00
492092	49-2092.00
49209X	49-2093.00
49209X	49-2094.00
49209X	49-2095.00
492096	49-2096.00
492097	49-2097.00
492098	49-2098.00
493011	49-3011.00
493021	49-3021.00
493022	49-3022.00
493023	49-3023.00
493023	49-3023.01
493023	49-3023.02
493031	49-3031.00
493040	49-3041.00
493040	49-3042.00
493040	49-3043.00
493050	49-3051.00
493050	49-3052.00
493050	49-3053.00
493090	49-3091.00
493090	49-3092.00
493090	49-3093.00
499010	49-9011.00
499010	49-9012.00
499021	49-9021.00
499021	49-9021.01
499021	49-9021.02
499031	49-9031.00
49904X	49-9041.00
499043	49-9043.00
499044	49-9044.00
49904X	49-9045.00
499051	49-9051.00
499052	49-9052.00
499060	49-9061.00
499060	49-9062.00
499060	49-9063.00
499060	49-9064.00
499060	49-9069.00
499071	49-9071.00
4990XX	49-9081.00
499091	49-9091.00
4990XX	49-9092.00
4990XX	49-9093.00
499094	49-9094.00
4990XX	49-9095.00
499096	49-9096.00
4990XX	49-9097.00
499098	49-9098.00
4990XX	49-9099.00
4990XX	49-9099.01
511011	51-1011.00
512011	51-2011.00
512020	51-2021.00
512020	51-2022.00
512020	51-2023.00
512031	51-2031.00
512041	51-2041.00
512090	51-2091.00
512090	51-2092.00
